ID,Requirement,Notes / Rationale,Gaps / TBDs,To include in T4,Relevant digital block-level IP,Digital block-level IP requirement,Verification strategy,,LongerTest Description
DIG-64,"After reset, an OTP load sequence may overwrite a subset of configuration and calibration registers with factory-programmed values.",From OTP section.,Exact precedence rules (OTP vs.\ hard reset vs.\ software writes) and list of OTP-overridable registers are TBD.,No,CONFIGURATION REGISTERS,As in requirement,Functional verification,,"For each R/W register: write a known pattern (e.g., 0xA5A5), then read back. Verify read value matches written value. For each RO register: attempt to write a non-zero value, then read back. Verify read value is unchanged (or 0x0000 if tied off). For each WO register: write a known pattern, then attempt to read back. Verify read returns 0x0000 or an undefined value (as per spec). Use UVM RAL access tests (e.g., bit-bash, walking-1s/0s) to verify permissions for all registers."
DIG-65,Spare registers for each group of registers shall be included,,,,,,,,"Review register map for each functional group (mode, clock, ADC, status, etc.). Access spare registers - should be readable and writable (or read as zero if tied off). Document spare register addresses for future expansion. "
DIG-66,"The device may perform a CRC (preferred) or Fletcher hash of the configuration register values to detect any random changes / errors in setting registers (except the status register, the reset register and the saturation register which are all monitored separately)",,Low priority,Yes,CONFIGURATION REGISTERS,As in requirement,Functional verification,,"If CRC/hash feature implemented: Read initial hash value from hash register. Write to configuration register Read hash register again - value should change. Calculate expected hash over all config registers (excluding status, reset, saturation regs per spec). Compare calculated vs. read hash - should match. Test that changing different registers produces different hashes. Verify status/reset/saturation registers excluded from hash. Use hash to detect unintended register corruption during operation."
DIG-67,The device may provide a means to read out the CRC / Fletcher hash ,,Low priority,Yes,CONFIGURATION REGISTERS,As in requirement,Functional verification,,"If hash readout implemented: Identify hash readout register (e.g., CFG_HASH at address 0xXX). Write known configuration values to all config registers. Manually calculate expected CRC-16 or Fletcher hash over config register values using same algorithm as design. Read CFG_HASH register via SPI. Compare read value with manually calculated hash - should match. Test with different config combinations. Verify hash updates in real-time as config changes. Use hash readout for integrity checking in production test or field diagnostics."
DIG-68,The device may provide a status flag that indicates the CRC / Fletcher hash has changed,,Low priority,Yes,CONFIGURATION REGISTERS,As in requirement,Functional verification,,"If hash-changed flag implemented: Read initial hash and hash-changed status flag (should be clear). Modify configuration register. Read hash-changed flag - should now be set, indicating config change detected. Read hash value to clear flag (if read-to-clear) or explicitly clear flag. Verify flag clears. Test that flag sets whenever any config register changes. Verify flag doesn't set when excluded registers (status, etc.) change. Use flag to trigger interrupt or alert host of unexpected config changes (e.g., due to SEU or corruption)."
DIG-69,"The digital subsystem shall define distinct clock domains: SPI (SCLK), core/conversion (HF_CLK-derived), and scan/test (SCAN_CLK).",From clock-domain section.,,Yes,TLM,As in requirement,Functional verification,,"Operate all three clock domains simultaneously with different frequencies. Example: SCLK=10MHz, HF_CLK=8MHz (conversion domain), SCAN_CLK=1MHz. Verify each domain operates independently - no frequency locking or interference. Use CDC analysis tool to identify all clock domain crossings. Verify proper synchronization at each crossing (2-FF sync, handshake, async FIFO). Monitor for metastability or data corruption. Test with varying clock ratios. Verify no combinational paths cross domains without synchronization."
DIG-70,CLK_DIV_CONV shall divide HF_CLK by a coarse factor (power of two) and then an integer $N \ge 1$ to produce the conversion clock.,From specification.,"Exact divider implementation, range of $N$, and allowed combinations are TBD.",Yes,BURST DIVIDER,As in requirement,Functional verification,,"Program CLK_DIV_CONV register with coarse divider (e.g., /4) and fine divider N (e.g., N=3). Monitor HF_CLK and conversion clock outputs. Count edges to measure actual divide ratio. Example: coarse=/4, N=3 should give total division of 12. Verify conversion clock frequency = HF_CLK / (coarse × N). Test range of N values (1 to max). Test different coarse factors (1,2,4,8...). Verify only integer division - no fractional behavior. Check duty cycle of output clock."
DIG-71,CLK_DIV_SAMP shall divide the conversion clock by an integer $M \ge 1$ to produce the sampling clock in Mode~2.,From specification (in addition to gated-burst behaviour).,Interaction between burst-divider configuration and CLK_DIV_SAMP (if both exist) is TBD.,Yes,BURST DIVIDER,As in requirement,Functional verification,,"Program CLK_DIV_SAMP register with M value (e.g., M=5). Monitor conversion clock and SAMPLE_CLK. Count conversion clock edges between SAMPLE_CLK edges. Verify ratio is exactly M:1. Test range of M (1 to max allowed). Verify M=1 gives 1:1 (SAMPLE_CLK = conversion clock). Test interaction with burst divider if both exist - verify they work together correctly or are mutually exclusive modes. Check SAMPLE_CLK duty cycle and edge alignment."
DIG-72,Fractional-$N$ division shall not be used to avoid additional jitter and design complexity.,From specification.,Confirm there are no corner cases that effectively create fractional behaviour (e.g.\ pulse swallowing).,Yes,BURST DIVIDER,As in requirement,Functional verification,,"Test all divider configurations across full range of settings. For each configuration, measure output clock frequency over extended period (1000+ cycles). Calculate average divide ratio. Verify ratio is always an integer (e.g., 2.0, 5.0, 12.0) never fractional (e.g., 2.5, 3.33). Check for pulse swallowing or dithering techniques that could create effective fractional division. Inspect RTL to confirm no fractional-N logic. Verify jitter is quantized to input clock period, not smoothed over multiple cycles."
DIG-73,Overall sampling jitter shall not exceed approximately \SI{25}{ns} in the highest-performance configuration; looser limits may apply in lower-performance modes.,From specification.,Precise jitter budgets per mode/OSR and how they map into RTL constraints and verification are TBD.,Yes,BURST DIVIDER,As in requirement,Timing analysis,,"Configure system for highest-performance mode (max sampling rate, min OSR). Measure SAMPLE_CLK jitter using gate-level simulation with SDF or on silicon with oscilloscope/TIA. Capture 1000+ SAMPLE_CLK periods. Calculate period variation: pk-pk jitter and RMS jitter. Verify pk-pk jitter <25ns. Identify jitter contributors: HF_CLK source, divider logic, clock distribution. Test across PVT corners. For lower-performance modes, verify jitter is within relaxed limits. Document jitter vs. performance tradeoff."
DIG-74,NRST shall asynchronously reset all digital state; internal synchronisers shall ensure clean release into each clock domain.,From reset-strategy section.,"Detailed reset tree, any local soft resets, and their exact behaviour are TBD.",Yes,TLM,As in requirement,Functional verification,,"Assert NRST asynchronously (not aligned to any clock). Verify all flip-flops reset immediately. Release NRST. Monitor reset release in each clock domain (SCLK, HF_CLK, SCAN_CLK). Verify reset synchronizers (2-FF chains) in each domain provide clean, glitch-free release synchronized to local clock. Use waveform viewer to check no metastability or X states. Test reset assertion/release at various phases relative to clocks. Verify no race conditions between domains during reset release. Check reset tree fanout and buffering."
DIG-75,"In the baseline (no FIFO) configuration, the device shall buffer only the latest complete frame (all enabled channels).",From specification.,Whether partial frames can ever be visible to the host must be explicitly ruled out.,Yes,ADC CONTROL,As in requirement,Functional verification,,"Disable FIFO mode (baseline configuration). Enable multiple channels. Trigger sampling to generate frame 1 (e.g., all channels = 0x1111). Before host reads, trigger frame 2 (all channels = 0x2222). Host reads buffer via SPI. Verify only frame 2 is returned (latest complete frame). Frame 1 should be overwritten. Test that partial frames are never visible - if frame 3 is incomplete when host reads, frame 2 should still be returned. Verify atomic frame updates."
DIG-76,"If a new frame completes before the previous one is read, the older frame shall be overwritten and the host shall see only the most recent frame.",Defined behaviour for overrun without FIFO.,Whether an overrun status flag is mandatory in first silicon is TBD.,Yes,ADC CONTROL,As in requirement,Functional verification,,"In baseline (no-FIFO) mode, generate frames rapidly without host reads. Frame 1 completes, then frame 2, then frame 3. Host finally reads buffer. Verify frame 3 is returned (most recent). Frames 1 and 2 were overwritten. Check if overrun status flag exists - if so, verify it's set to indicate frames were lost. Test that overwrite behavior is deterministic and doesn't corrupt data. Verify host always gets complete, valid frame (newest one), never mixed/partial data."
DIG-77,"A future FIFO mode shall be supportable with at least 16-frame depth; on overflow, the oldest unread frame is dropped and a status flag is set.",From future FIFO description.,Whether any FIFO features will be pulled into first silicon must be decided early.,Yes,FIFO,As in requirement,Functional verification,,"If FIFO mode implemented: Enable FIFO mode. Verify FIFO depth is at least 16 frames. Fill FIFO with 16 frames without reading. Verify DATA_READY asserts. Generate frame 17 to cause overflow. Read FIFO - should get frames 2-17 (frame 1 dropped, oldest). Verify overflow status flag is set. Test FIFO read/write pointers wrap correctly. Test partial fill/drain scenarios. Verify FIFO behavior matches circular buffer semantics. If not in first silicon, verify FIFO_CTRL/FIFO_STAT reserved for future."
DIG-78,"The digital design shall target full scan coverage of synchronous storage elements where practical, using dedicated scan control pins.",From DFT section.,Non-scannable elements and justifications must be enumerated and agreed.,Yes,TLM,As in requirement,Functional verification,,"Insert DFT scan chains using synthesis tool. Generate scan coverage report. Verify >95% of flip-flops are in scan chains. Identify non-scannable elements (e.g., async reset FFs, clock dividers, RAMs) and document justification. Use SCAN_EN, SCAN_CLK, SCAN_IN, SCAN_OUT pins to shift test patterns. Verify scan chain integrity - shift known pattern in, capture, shift out, compare. Run ATPG to generate fault coverage patterns. Simulate patterns and verify fault coverage >95%. Check scan chains don't affect functional mode (SCAN_EN=0)."
DIG-79,The design shall not rely on at-speed digital test at maximum SPI/clock rates; functional tests may run at reduced speeds.,From production-test description.,Any exceptions (paths requiring at-speed validation) are TBD.,Yes,N/A,As in requirement,Functional verification,,"Run full functional test suite (register access, sampling, FIFO, etc.) at reduced clock speeds: SCLK=1MHz (vs. 15MHz max), HF_CLK=1MHz (vs. 8MHz max). Verify all tests pass at reduced speed. Confirm no at-speed requirements for production test (except maybe final characterization). Identify any critical paths that must be tested at-speed (e.g., setup/hold on specific interfaces) - these should be exceptions, not the norm. Verify production test can be performed with low-cost, slow ATE."
DIG-80,No dedicated digital pattern generators or loopback modes are currently planned beyond what can be driven via SPI and scan.,From specification.,Need to confirm whether any simple loopback or BIST features are required for system debug.,Yes,N/A,As in requirement,Functional verification,,By design
DIG-81,"RTL shall follow clean synchronous design practices, with one active clock per domain and no inferred latches.",From design guidelines.,Coding guidelines and LINT ruleset/tool choice are TBD.,Yes,ALL,As in requirement,Functional verification,,"Run lint tool on all RTL. Check for violations: inferred latches, multiple clocks to single FF, combinational loops, uninitialized variables. Verify lint report shows zero latches. Review clock usage - each FF should have single clock source within its domain. Check for clock muxing - should use glitch-free clock mux cells if present. Verify all always blocks use proper sensitivity lists (or always_ff/always_comb in SystemVerilog). Achieve clean lint with zero critical warnings."
DIG-82,All asynchronous inputs (including NRST and cross-domain controls) shall be properly synchronised to their destination domains.,From design guidelines.,Concrete CDC methodology (two-flop synchroniser vs.\ handshake vs.\ FIFO per path) is TBD.,Yes,ALL,As in requirement,Functional verification,,"Run Clock domain crossing analysis tool Identify all clock domain crossings and async inputs. For each crossing, verify proper synchronization: 2-FF synchronizer for single-bit signals, handshake for control, async FIFO or gray-code for multi-bit data. Check NRST has sync chain in each domain. Verify no direct async-to-logic paths. Review Clock Domain Crossing report - should show all crossings are properly handled with zero violations. Test metastability recovery with simulation (force X on sync FF, verify resolves)."
DIG-83,Low-power design shall use explicit clock-gating cells where needed and avoid unnecessary switching.,From specification.,Power-budget targets and whether any power domains beyond digital core exist are TBD.,Yes,ALL,As in requirement,Functional verification,,"Synthesize design with clock-gating enabled. Review netlist for clock-gating cells (e.g., CKLNQD1, ICG cells). Verify clock-gating on idle blocks: disabled channels, empty FIFO, inactive modes. Run gate-level power simulation with realistic activity. Measure dynamic power with and without clock-gating - verify significant reduction (e.g., 20-40%). Check for unnecessary toggle activity on unused signals. Verify clock-gating doesn't introduce functional bugs (glitches, race conditions). Test across different operating modes and channel configurations."
DIG-84,"Verification shall cover all modes, SPI commands, OSR configurations, and key error scenarios, using directed plus constrained-random tests as needed.",From verification principles.,"Coverage goals (functional, code, assertion) and acceptable thresholds are TBD.",Yes,TLM,As in requirement,Functional verification,,"Develop comprehensive verification plan covering: all operating modes (periodic, autonomous, FIFO), all SPI commands (read/write reg, read data, status), all OSR settings, all channel enable combinations, error cases (overflow, underflow, saturation, OTP fail). Implement directed tests for basic functionality. Implement constrained-random tests for corner cases and stress testing. Collect functional coverage on modes, commands, configs. Collect code coverage (line, branch, toggle, FSM). Target >90% functional coverage, >95% code coverage. Review coverage holes and add tests to close gaps."
DIG-85,"Assertions shall check protocol correctness (SPI framing, commands, DATA_READY), reset behaviour, and safety properties (no illegal state transitions).",From verification principles.,List of mandatory properties and where they are implemented (testbench vs.\ assertions in RTL) is TBD.,Yes,TLM,As in requirement,Functional verification,,"Implement assertions for: SPI protocol (CS/SCLK relationship, 16-bit words, no glitches), DATA_READY semantics (asserts when FIFO above watermark), reset behavior (all FFs reach reset state), FSM safety (no illegal state transitions, no deadlocks), clock relationships (SAMPLE_CLK sync to HF_CLK), one-hot encoding (ATMCHSEL). Enable assertions during all simulations. Verify zero assertion failures in regression. Use assertion coverage to ensure properties are exercised. Implement both in RTL (synthesizable) and testbench (for checking)."
DIG-86,Provide a status flag that one of the channels is being reset,,,Yes,CONFIGURATION REGISTERS,As in requirement,Functional verification,,"Trigger channel reset condition (e.g., write to channel reset register or assert analog reset signal). Immediately read channel status register. Verify 'channel reset' flag is set. Determine if flag is per-channel (8 bits, one per channel) or global (single bit, any channel resetting). Test resetting different channels - verify correct flag(s) set. Check flag behavior: real-time (clears when reset completes) or sticky (requires explicit clear). Verify host can poll this flag to know when channel is ready."
DIG-87,Provide a status flag that one of the channels has gone into saturation,,,Yes,CONFIGURATION REGISTERS,As in requirement,Functional verification,,"Drive analog saturation signal for channel 3 (SAT[3]=1). Read saturation status register. Verify bit 3 is set indicating channel 3 saturated. Test all 8 channels individually. Test multiple simultaneous saturations - verify multiple bits set. Check if flag is real-time (follows SAT signal) or latched (sticky until cleared). If sticky, test clear mechanism. Verify saturation flag is separate from saturation log register (STS-3). This flag shows current/recent saturation state."
DIG-88,Provide saturation registers that log (sticky bit) that a channel has gone into saturation,,,Yes,CONFIGURATION REGISTERS,As in requirement,Functional verification,,"Drive saturation on channel 5 (SAT[5]=1). Read saturation log register - verify bit 5 is set (sticky). Remove saturation signal (SAT[5]=0). Read log register again - bit 5 should still be set (sticky behavior). Test clearing: write-1-to-clear or dedicated clear command. Verify bit 5 clears. Test saturation on multiple channels over time - log register should accumulate all saturation events (OR of all events since last clear). Use log to detect any saturation occurrence during measurement period, even if transient."
DIG-89,Provide a status bit that the ADC has gone into overflow,,,Yes,CONFIGURATION REGISTERS,As in requirement,Functional verification,,Apply analog input that exceeds ADC full-scale range to cause ADC overflow. Read ADC status register. Verify overflow bit is set. Determine if overflow is per-channel or global. Test overflow on different channels. Check if overflow refers to ADC conversion overflow (analog too large) vs. FIFO overflow (different from MODE-7). Verify overflow flag behavior: sticky or real-time. Test clearing mechanism. Verify overflow doesn't corrupt ADC data - should clip to max value (0xFFFF or 0x7FFF depending on format).
DIG-90,Provide a status bit that ADC data has been overwritten / read opportunity was missed (FIFO FULL),,,Yes,CONFIGURATION REGISTERS,As in requirement,Functional verification,,"In baseline (no-FIFO) mode or with FIFO enabled: generate data faster than host reads. In baseline mode, new frame overwrites old frame. In FIFO mode, fill FIFO to capacity. Continue generating data to cause overwrite/FIFO-full condition. Read status register - verify 'data overwritten' or 'FIFO full' bit is set. Test that flag indicates host missed read opportunity (data loss). Verify flag is sticky and can be cleared. Use flag to detect data loss and alert host to increase read rate or reduce sampling rate."
DIG-91,,,,,,,,,
DIG-92,"OTP memory may store factory-programmed calibration and configuration values, with an approximate budget of up to around 512\,bits.",From specification.,Final OTP bit budget and organisation are TBD.,No,OTP,As in requirement,Functional verification,,"If OTP included: Program OTP with test pattern using up to 512 bits. Example: 256 bits calibration data + 256 bits config/redundancy. Read back OTP contents via test interface or after reset (OTP auto-load). Verify all programmed bits match. Test OTP capacity - verify 512 bits can be stored and retrieved. Check OTP organization (words, bytes, bit-fields). Verify OTP is non-volatile (retains data across power cycles in simulation model). Test OTP programming flow and read access timing."
DIG-93,"OTP content may include global trims (e.g.\ reference/ADC gain/offset) and per-channel calibration values, plus optional configuration defaults (e.g.\ OSR, mode).",From OTP content description.,Exact bit allocation per field and required precision per trim are TBD.,No,OTP,As in requirement,Functional verification,,"Program OTP with structured data: global gain trim (8 bits) = 0x7C, global offset (8 bits) = 0x05, per-channel offsets (8 channels × 4 bits = 32 bits), default OSR (4 bits) = 0x3, default mode (4 bits) = 0x1. After reset with OTP load, read corresponding registers via SPI. Verify: gain register = 0x7C, offset = 0x05, channel cal registers match per-channel values, OSR_CFG = 0x3, MODE_CTRL = 0x1. Test that OTP structure matches register map. Verify bit allocation is efficient and documented."
DIG-94,"After NRST deassertion, the digital block mayread OTP and apply valid overrides to the corresponding registers before normal operation begins.",From startup sequence.,"Timeout behaviour, error detection (e.g.\ CRC/parity of OTP) and fall-back behaviour are TBD.",No,TLM,As in requirement,Functional verification,,"Program OTP with known values. Assert then release NRST. Monitor OTP read sequence - should start automatically after reset release. Use waveform viewer or status flags to track OTP read progress. Verify OTP read completes before any sampling or normal operation begins. After OTP load done, read affected registers - should contain OTP values. Test timeout: if OTP read hangs, verify system times out and proceeds with defaults. Check for OTP valid flag or CRC - if invalid, verify fallback to defaults."
DIG-95,"If OTP read is conducted and fails or is blank/invalid, defaults may remain in effect and an error flag shall be set in a status register; the device may still operate with default trims.",From specification.,"Exact error-flag location, latching/clearing semantics, and any derating requirements are TBD.",No,CONFIGURATION REGISTERS,As in requirement,Functional verification,,"Simulate OTP failure scenarios: blank OTP (all 0s or all 1s), corrupted CRC, read timeout. After reset with failed OTP load, read status register (e.g., STAT_ERR). Verify OTP error flag is set. Read configuration registers - should contain hard reset defaults, not garbage. Verify system operates normally with default trims (may have reduced performance/accuracy). Test that error flag is sticky and can be cleared. Verify host can detect OTP failure and take corrective action (e.g., load software calibration)."
